ID;Link;Aussagen
107;https://www.instagram.com/p/C0hXZ3bNAbH/?hl=de;Die Empfehlung, dass Kinder im ersten Lebensjahr keine Eier konsumieren dürfen, ist veraltet 
;#NV;Die Empfehlung, dass Kinder im ersten Lebensjahr keine Milchprodukte konsumieren dürfen, ist veraltet 
;#NV;Nach wissenschaftlichen Erkenntnissen gibt es in Bezug auf Allergieprävention keine Einschränkung in der Lebensmittelauswahl mehr 
;#NV;Ein verzögertes Einführen von potent allergenen Lebensmitteln kann nicht mehr empfohlen werden 
;#NV;Eine Restriktion potent allergener Lebensmittel hat keine positiven Auswirkungen hinsichtlich der Allergieprävention 
;#NV;Allergene sollten früh angeboten werden 
;#NV;Allergene sollten häufig angeboten werden 
;#NV;Milchprodukte gehören zu den häufigsten Allergenen
;#NV;Eier gehören zu den häufigsten Allergenen
;#NV;Erdnüsse gehören zu den häufigsten Allergenen
;#NV;Baumnüsse gehören zu den häufigsten Allergenen
;#NV;Soja gehört zu den häufigsten Allergenen
;#NV;Weizen gehört zu den häufigsten Allergenen
;#NV;Fisch gehört zu den häufigsten Allergenen
;#NV;Meeresfrüchte gehören zu den häufigsten Allergenen
;#NV;Die Allergene sollten spätestens ab dem siebten Lebensmonat eingeführt werden 
;#NV;Jedes Allergen sollte einzeln eingeführt werden, um potenzielle Reaktionen genau beobachten zu können 
;#NV;Jedes Allergen sollte in kleinen Mengen eingeführt werden, um potenzielle Reaktionen genau beobachten zu können 
;#NV;Im ersten Lebensjahr dürfen Babys bis zu 200 ml verarbeitete Milchprodukte am Tag konsumieren 
;#NV;Milchprodukte dürfen nicht als Ersatz für Muttermilch oder Formula gegeben werden
;#NV;Im ersten Lebensjahr dürfen Babys aufgrund des hohen Proteingehaltes nur ein bis zwei Eier die Woche konsumieren 
;#NV;Der hohe Proteingehalt in Eiern belastet die unreifen Nieren 
;#NV;Der hohe Proteingehalt in Eiern bringt den Wasserhaushalt durcheinander
;#NV;Die Wahl des Zeitpunktes zur Allergeneinführung ist entscheidend 
;#NV;Die Einführung neuer Lebensmittel sollte vorzugsweise am Morgen erfolgen, um mögliche Reaktionen während der nächsten Stunden genau überwachen zu können 
;#NV;Lebensmittelallergien treten nicht zwangsläufig bei der ersten Gabe auf, sondern können sich über Zeit bilden 
;#NV;Bei bestehenden Allergien der Bezugspersonen, sollte dies beim Kinderarzt angesprochen werden
;#NV;Bei bestehenden Allergien der Geschwisterkinder, sollte dies beim Kinderarzt angesprochen werden
55;https://www.instagram.com/p/DKdyvext_nh/?hl=de;Zur Einschätzung, ob ein Baby bereit ist für die Beikost, soll auf Reifezeichen geachtet werden
;#NV;Ein Reifezeichen zur Beikost ist, dass der Zungenschnalzreflex sich verliert
;#NV;Ein Reifezeichen zur Beikost ist, dass das Baby eine aktive Hand-Mund-Koordination hat 
;#NV;Ein Reifezeichen zur Beikost ist, dass das Baby Interesse am Essen zeigt 
;#NV;Ein Reifezeichen zur Beikost ist, dass das Baby aufrecht sitzen kann mit leichter Hilfe 
;#NV;Solange die Nahrung beim Einführen direkt wieder mit der Zunge herauskommt, soll nicht mit Beikost gestartet werden
;#NV;Es wird empfohlen Beikost mit 6 Monaten einzuführen 
;#NV;Beikost kann ab 4 bis 6 Monaten eingeführt werden
39;#NV;Regular meat consumption for young children is being really encouraged to get in all of the nutrients that they need 
;#NV;Meat is quite nutrient dense 
;#NV;Kids take in small amounts  
;#NV;The focus should be more on foods that hold a lot of nutrients in them like meat, dairy, eggs, legumes, nuts rather than grains 
59;https://www.instagram.com/p/DKdyvext_nh/?hl=de;Bis zum sechsten Lebensmonat ist die Muttermilch ein adäquates Lebensmittel 
;#NV;Bis zum sechsten Lebensmonat ist die Muttermilch ein gesundes Lebensmittel 
;#NV;Bis zum sechsten Lebensmonat ist die Muttermilch ein sicheres Lebensmittel 
;#NV;Ab dem sechsten Lebensmonat steigt der Bedarf des Kindes über Muttermilch hinaus
;#NV;Nach sechs Monaten kann davon ausgegangen werden, dass das Kind reif ist für die Beikost
;#NV;Wenn das Kind die Beikostreifezeichen erfüllt, kann davon ausgegangen werden, dass der Darm bereit ist für die Beikost 
108;https://www.instagram.com/p/C6A5ok9tnGI/?hl=de;Auf Gewürze in der Beikost sollte nicht verzichtet werden, denn sie sind super wertvoll 
;#NV;Gewürze fördern die Geschmacksvielfalt 
;#NV;Die Förderung der Geschmacksvielfalt ist gerade im ersten Lebensjahr ein wertvoller und wichtiger Punkt
;#NV;Salz ist im ersten Lebensjahr tabu 
;#NV;Salz führt zu einer erhöhten Gefahr einer Nierenbelastung 
;#NV;Scharfe Gewürze wie beispielsweise Pfeffer oder auch Chili sollten gemieden werden 
;#NV;Milde Gewürze wie zum Beispiel Kräuter sind super für die Beikost geeignet 
;#NV;Milde Gewürze wie zum Beispiel Kräuter sollten unbedingt in der Beikost eingesetzt werden
12;#NV;Babys darf ab Beikostreife Fisch angeboten werden wie zum Beispiel  Lachs, Makrele, Hecht, Pangasiusfilets, Seelachs
;#NV;Babys dürfen ab Beikostreife Meeresfrüchte angeboten werden wie zum Beispiel Garnelen 
;#NV;Alles an Fisch, was als Familie gegessen wird, darf Babys angeboten werden 
;#NV;Alles an Meeresfrüchten, was als Familie gegessen wird, darf Babys angeboten werden 
;#NV;Der Fisch sollte gut durchgegart sein 
;#NV;In dem Fisch sollten keine Gräten enthalten sein 
;#NV;Was sich am Anfang super eignet, sind kleine längliche Frikadellen aus Fischfilet 
;#NV;Je älter das Kind wird, umso eher darf es auch ein Fertigprodukt wie Fischstäbchen essen 
16;#NV;Salt is a food babies shouldn't have before they are one years old 
;#NV;salt is in sausages
;#NV;salt is in crackers
;#NV;salt is in crisps
;#NV;Salt is really bad for babies kidneys 
;#NV;The aim is to prevent decay on their teeth through sugar
;#NV;Sugar intake should be as little as possible in babys before they are one years old 
;#NV;Babies can have eggs from six months old
;#NV;Eggs should be cooked completely beacause runny eggs can contain bacteria 
;#NV;Eggs should be cooked completely beacause runny eggs are not good for babies under one years old 
;#NV;Babies under one years old are allowed to eat cheddar cheese
;#NV;Babies under one years old are allowed to eat cream cheese
;#NV;Babies under one years old are allowed to eat cottage cheese 
;#NV;Babies under one years old are not allowed to eat blue cheese  because it can contain bacteria that are not good for the babies
;#NV;Babies under one years old are not allowed to eat any kinds of brie because they can contain bacteria that are not good for the babies
;#NV;Babies under one years old are not allowed to eat any kinds of camembert  because they can contain bacteria that are not good for the babies
;#NV;Honey can contain bacteria that are not good for babies under one
;#NV;When babies eat honey, it can get stuck in their throat
;#NV;When babies eat honey, it can cause choking 
;#NV;Honey should be avoided before they are one year old 
33;#NV;Wasser ist für Babys gefährlich 
;#NV;Die Nieren eines Babys können große Mengen Wasser noch nicht verarbeiten
;#NV;Bei zu viel Wasser für Babys wird das Wasser im schlimmsten Fall vom Gewebe aufgenommen 
;#NV;Wasser im Gewebe kann bei Babys zu Schädigungen der Zellen führen 
;#NV;Bei zu viel Wasser für Babys kann es zu Krampfanfällen kommen 
;#NV;Bei zu viel Wasser für Babys kann es zu Herzrhythmusstörungen kommen 
;#NV;In den ersten sechs Lebensmonaten sollte Babys ausschließlich Muttermilch oder Formulanahrung zu trinken gegeben werden
;#NV;Mit dem Beikoststart können Babys kleine Mengen Wasser 
;#NV;Mit dem Beikoststart können Babys kleine Mengen ungesüßten Tee angeboten werden
105;https://www.instagram.com/p/DImOcJeJCs7/?hl=de;Babies under 12 months of age do not need snacks 
;#NV;Babies have super high energy needs
;#NV;Most of babys energy needs are met by breast milk or formula in the first year of life
;#NV;Any foods that are being served on top of breast milk or formula are considered complimentary
;#NV;Complimentary foods need to be energy dense
;#NV;Complimentary foods need to be iron rich
;#NV;Most baby snacks are not energy dense 
;#NV;Most baby snacks are not iron rich
;#NV;Lesser nutritional value snacks sould not displace what babies bodies actually need
101;https://www.instagram.com/p/DJej5UrxYoQ/?hl=de;Babies sould not eat all foods consumed by adults
;#NV;Exposing baby to the foods the whole family enjoys is a suitable approach when starting solids
;#NV;Many foods are off limits for babies
;#NV;Many foods need to be modified to be safe for babies
;#NV;Consuming honey under the age of one can cause infant botulism
;#NV;Infant botulism is a very serious illness
;#NV;Products with baked honey should be avoided
;#NV;Foods high in sodium should be avoided 
;#NV;Excess sodium from Foods high in sodium can cause health concerns in babies
;#NV;Foods high in sodium are not the best options in regards to nutritional intake for babies
;#NV;There are many choking hazard foods like grapes, cherry tomatoes, nuts, and most raw veggies that need to be avoided or safely modified prior to giving to babies
;#NV;Foods that contain added sugar are recommended to be avoided for children under 24 months
;#NV;Taste preferences are being shaped during the first 24 months 
;#NV;The aim is to avoid an over-reliance on super salty foods in babies
;#NV;The aim is to avoid an over-reliance on super sweet foods in babies
;#NV;The focus should be on providing foods that are fueling their growth
;#NV;The focus should be on providing foods that are helping meet their high energy needs
;#NV;The focus should be on providing foods that are helping meet their high nutrient needs
