ID;Link;Aussagen;Aussagennummer
2;https://www.instagram.com/reel/C2h2UktSdwk/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Kids need calcium and vitamin D for their proper growth, specifically bones.;1
;#NV;Kids need calcium and vitamin D for their proper growth, specifically teeth. ;2
;#NV;Kids need calcium and vitamin D for their proper development, specifically bones.;3
;#NV;Kids need calcium and vitamin D for their proper development, specifically teeth. ;4
;#NV;Cow milk is a source of vitamin D.;5
;#NV;Cow milk is not the only source of vitamin D.;6
3;https://www.instagram.com/reel/C3KNR_TMo5P/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Vitamin D Präparate werden zwecks Knochenbildung gegeben.;7
;#NV;Es ist wichtig Babys Vitamin D Supplemente zu geben.;8
;#NV;Kinder sollten Vitamin D Supplemente mit Fluor gegeben werden.;9
;#NV;Vitamin D Supplementation in Kombination mit Fluor dient der Kariesprophylaxe bezogen auf Kinder ohne Zähne.;10
;#NV;Vitamin D Supplemente in Kombination mit Fluor unterstützen bei der Bildung von Zähnen bezogen auf Kinder ohne Zähne.;11
;#NV;Vitamin D Supplemente sollen zusammen mit Fluor verabreicht werden, solange ein Kind keine Zähne hat.;12
;#NV;Sobald Kinder Zähne haben, soll entweder auf eine flurhaltige Zahncreme zurückgegriffen werden oder Vitamin D mit Fluor zusammen verabreicht werden.;13
6;https://www.instagram.com/reel/C4Nb0I2oIrp/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Eltern müssen ihren Babys nach der Geburt Vitamin D geben.;14
;#NV;Vitamin D ist wichtig für die Gesundheit des Babys.;15
;#NV;Vitamin D ist bei Babys wichtig für die Entwicklung von Knochen.;16
;#NV;Vitamin D ist bei Babys wichtig für die Entwicklung von Zähnen.;17
;#NV;Babys bekommen nicht genug Vitamin D durch die Muttermilch.;18
;#NV;Babys bekommen nicht genug Vitamin D durch die Formularnahrung. ;19
;#NV;Es ist wichtig, ab dem 10. Lebenstag dem Baby Vitamin D zu verabreichen. ;20
9;https://www.instagram.com/reel/C5tKOAexRHV/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Wer seinen Kindern kein Vitamin D gibt, begeht schwere Körperverletzungen.;21
;#NV;Vitamin D ist wichtig für den Knochenaufbau.;22
;#NV;Vitamin D ist wichtig für das Immunsystem.;23
;#NV;Vitamin D ist wichtig für Muskelfunktion.;24
;#NV;Vitamin D ist wichtig für Zellwachstum.;25
;#NV;Vitamin D ist wichtig für die Vorbeugung von Rachitis.;26
;#NV;Ein Vitamin D Präparat mit einer Dosierung von 1000 IE ist für Kinder, die 11 kg wiegen, geeignet.;27
;#NV;Vitamin D Präparate mit K2, Magnesium, Vitamin C und ein Multikomplex für die restlichen Vitamin D Kofaktoren sind geeignet für Kinder.;28
14;https://www.instagram.com/reel/C8_eZrPsQzO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;It's recommended to give a baby vitamin D supplements.;29
;#NV;A suitable method for giving a baby vitamin D is to give it straight into the baby's mouth.;30
;#NV;Babies need 400 IU vitamin D for the day.;31
;#NV;A suitable method for giving a baby vitamin D is to give the D drops in a bottle.;32
;#NV;Just one drop of vitamin D is the exact amount that a baby needs for the day. ;33
;#NV;Most infants tolerate vitamin D very well.;34
;#NV;If for some reason a baby does spit up after the bottle in which the vitamin D supplement is served, it is always an option to try dosing it again later in the day.;35
;#NV;If for some reason a baby does spit up after the bottle in which the vitamin D supplement is served, it is an option to wait until the next day altogether.;36
16;https://www.instagram.com/reel/C8_eZrPsQzO/?utm_source=ig_web_copy_link&igsh=MzRlODBiNWFlZA==;Säuglinge bekommen im ersten Lebensjahr vom Kinderarzt Vitamin D verschrieben.;37
;#NV;Vitamin D wird als Sonnenhormon bezeichnet.;38
;#NV;Der Körper kann in gewissem Maß Vitamin D selbst synthetisieren, wenn UV-Strahlung auf die ungeschützte Haut trifft.;39
;#NV;Wenn Säuglinge in der Sonne sind, dann definitiv mit Sonnenschutz und deshalb wird Vitamin D nicht in gewissem Maß selbst synthetisieren.;40
;#NV;Eine ausreichende Vitamin D Versorgung ist essenziell für ein normales Wachstum.;41
;#NV;Eine ausreichende Vitamin D Versorgung ist essenziell für gesunde Knochen.;42
;#NV;Über 60% der Kinder und Jugendlichen haben einen Vitamin D-Mangel.;43
;#NV;Kinder spielen heutzutage weniger draußen.;44
;#NV;Das Problem an vielen Supplementen, die der Kinderarzt für das erste Lebensjahr verschreibt, ist, dass sie kein K2 enthalten. ;45
;#NV;K2 wird zwingend gebraucht, damit sich Calcium in den Knochen einlagert.;46
