index,nummer,sample_rank,shortcode,link,video_path,audio_path,generated_at,statement_count,statement_id,statement,transcript
1,24,,DOfdHCcCLS9,https://www.instagram.com/p/DOfdHCcCLS9/?hl=de,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/downloads/downloads_beikost/DOfdHCcCLS9.mp4,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/evaluation/statements/beikost_first10/audio/DOfdHCcCLS9.wav,2026-06-27T10:26:38Z,6,1,Interfering with a baby's exploration of food during the introduction of complementary foods can lead to feeding disorders.,"Ja, genau so sieht es aus, wenn ein Baby anfängt zu essen mit Beikuss. Es ist wild, es ist dreckig, alles wird schmutzig, es ist super viel Arbeit. Ihr seid eigentlich den ganzen Tag damit beschäftigt, Essen vorzubereiten, zu füttern oder zu verabreichen als BLW. Wenigstens das Tablett sauber machen, den Hochstuhl, den Boden, manchmal sogar die Wände. Es kann alles dreckig werden. Aber es ist ganz wichtig, dass das Kind diese Entwicklung durchmacht. Es ist nicht gut und kann zu Fütterstörungen führen, wenn ihr zum Beispiel das Kind immer wieder zwischendurch sauber macht, immer nur das Essen anreicht und es gar nicht das Essen erkunden darf. Es gehört ja auch dazu, die Haptik, Textur, die Konsistenz und so weiter zu testen, also die Sensorik wirklich auszuprobieren. Also lasst euren Kindern da einfach mal freien Lauf. Man sagt immer, mit Essen darf man nicht spielen. Doch, Kinder dürfen mit Essen spielen, besonders am Anfang. Es muss ein Erlebnis sein. Essen soll Spaß machen, soll Leidenschaft erwecken. Das Kind soll sich glücklich und zufrieden damit fühlen. Es soll kein Zwang sein. Also, es ist ganz normal, wenn euer Wohnzimmer aussieht wie ein Schlachtfeld."
1,24,,DOfdHCcCLS9,https://www.instagram.com/p/DOfdHCcCLS9/?hl=de,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/downloads/downloads_beikost/DOfdHCcCLS9.mp4,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/evaluation/statements/beikost_first10/audio/DOfdHCcCLS9.wav,2026-06-27T10:26:38Z,6,2,"Allowing a baby to freely explore food, including its texture and consistency, is an important part of development when starting complementary foods.","Ja, genau so sieht es aus, wenn ein Baby anfängt zu essen mit Beikuss. Es ist wild, es ist dreckig, alles wird schmutzig, es ist super viel Arbeit. Ihr seid eigentlich den ganzen Tag damit beschäftigt, Essen vorzubereiten, zu füttern oder zu verabreichen als BLW. Wenigstens das Tablett sauber machen, den Hochstuhl, den Boden, manchmal sogar die Wände. Es kann alles dreckig werden. Aber es ist ganz wichtig, dass das Kind diese Entwicklung durchmacht. Es ist nicht gut und kann zu Fütterstörungen führen, wenn ihr zum Beispiel das Kind immer wieder zwischendurch sauber macht, immer nur das Essen anreicht und es gar nicht das Essen erkunden darf. Es gehört ja auch dazu, die Haptik, Textur, die Konsistenz und so weiter zu testen, also die Sensorik wirklich auszuprobieren. Also lasst euren Kindern da einfach mal freien Lauf. Man sagt immer, mit Essen darf man nicht spielen. Doch, Kinder dürfen mit Essen spielen, besonders am Anfang. Es muss ein Erlebnis sein. Essen soll Spaß machen, soll Leidenschaft erwecken. Das Kind soll sich glücklich und zufrieden damit fühlen. Es soll kein Zwang sein. Also, es ist ganz normal, wenn euer Wohnzimmer aussieht wie ein Schlachtfeld."
1,24,,DOfdHCcCLS9,https://www.instagram.com/p/DOfdHCcCLS9/?hl=de,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/downloads/downloads_beikost/DOfdHCcCLS9.mp4,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/evaluation/statements/beikost_first10/audio/DOfdHCcCLS9.wav,2026-06-27T10:26:38Z,6,3,It is normal for a baby to make a mess when exploring food during the introduction of complementary foods.,"Ja, genau so sieht es aus, wenn ein Baby anfängt zu essen mit Beikuss. Es ist wild, es ist dreckig, alles wird schmutzig, es ist super viel Arbeit. Ihr seid eigentlich den ganzen Tag damit beschäftigt, Essen vorzubereiten, zu füttern oder zu verabreichen als BLW. Wenigstens das Tablett sauber machen, den Hochstuhl, den Boden, manchmal sogar die Wände. Es kann alles dreckig werden. Aber es ist ganz wichtig, dass das Kind diese Entwicklung durchmacht. Es ist nicht gut und kann zu Fütterstörungen führen, wenn ihr zum Beispiel das Kind immer wieder zwischendurch sauber macht, immer nur das Essen anreicht und es gar nicht das Essen erkunden darf. Es gehört ja auch dazu, die Haptik, Textur, die Konsistenz und so weiter zu testen, also die Sensorik wirklich auszuprobieren. Also lasst euren Kindern da einfach mal freien Lauf. Man sagt immer, mit Essen darf man nicht spielen. Doch, Kinder dürfen mit Essen spielen, besonders am Anfang. Es muss ein Erlebnis sein. Essen soll Spaß machen, soll Leidenschaft erwecken. Das Kind soll sich glücklich und zufrieden damit fühlen. Es soll kein Zwang sein. Also, es ist ganz normal, wenn euer Wohnzimmer aussieht wie ein Schlachtfeld."
1,24,,DOfdHCcCLS9,https://www.instagram.com/p/DOfdHCcCLS9/?hl=de,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/downloads/downloads_beikost/DOfdHCcCLS9.mp4,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/evaluation/statements/beikost_first10/audio/DOfdHCcCLS9.wav,2026-06-27T10:26:38Z,6,4,"Babies should be allowed to play with food, especially when first starting complementary foods.","Ja, genau so sieht es aus, wenn ein Baby anfängt zu essen mit Beikuss. Es ist wild, es ist dreckig, alles wird schmutzig, es ist super viel Arbeit. Ihr seid eigentlich den ganzen Tag damit beschäftigt, Essen vorzubereiten, zu füttern oder zu verabreichen als BLW. Wenigstens das Tablett sauber machen, den Hochstuhl, den Boden, manchmal sogar die Wände. Es kann alles dreckig werden. Aber es ist ganz wichtig, dass das Kind diese Entwicklung durchmacht. Es ist nicht gut und kann zu Fütterstörungen führen, wenn ihr zum Beispiel das Kind immer wieder zwischendurch sauber macht, immer nur das Essen anreicht und es gar nicht das Essen erkunden darf. Es gehört ja auch dazu, die Haptik, Textur, die Konsistenz und so weiter zu testen, also die Sensorik wirklich auszuprobieren. Also lasst euren Kindern da einfach mal freien Lauf. Man sagt immer, mit Essen darf man nicht spielen. Doch, Kinder dürfen mit Essen spielen, besonders am Anfang. Es muss ein Erlebnis sein. Essen soll Spaß machen, soll Leidenschaft erwecken. Das Kind soll sich glücklich und zufrieden damit fühlen. Es soll kein Zwang sein. Also, es ist ganz normal, wenn euer Wohnzimmer aussieht wie ein Schlachtfeld."
1,24,,DOfdHCcCLS9,https://www.instagram.com/p/DOfdHCcCLS9/?hl=de,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/downloads/downloads_beikost/DOfdHCcCLS9.mp4,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/evaluation/statements/beikost_first10/audio/DOfdHCcCLS9.wav,2026-06-27T10:26:38Z,6,5,Introducing complementary foods should be an enjoyable experience for the baby.,"Ja, genau so sieht es aus, wenn ein Baby anfängt zu essen mit Beikuss. Es ist wild, es ist dreckig, alles wird schmutzig, es ist super viel Arbeit. Ihr seid eigentlich den ganzen Tag damit beschäftigt, Essen vorzubereiten, zu füttern oder zu verabreichen als BLW. Wenigstens das Tablett sauber machen, den Hochstuhl, den Boden, manchmal sogar die Wände. Es kann alles dreckig werden. Aber es ist ganz wichtig, dass das Kind diese Entwicklung durchmacht. Es ist nicht gut und kann zu Fütterstörungen führen, wenn ihr zum Beispiel das Kind immer wieder zwischendurch sauber macht, immer nur das Essen anreicht und es gar nicht das Essen erkunden darf. Es gehört ja auch dazu, die Haptik, Textur, die Konsistenz und so weiter zu testen, also die Sensorik wirklich auszuprobieren. Also lasst euren Kindern da einfach mal freien Lauf. Man sagt immer, mit Essen darf man nicht spielen. Doch, Kinder dürfen mit Essen spielen, besonders am Anfang. Es muss ein Erlebnis sein. Essen soll Spaß machen, soll Leidenschaft erwecken. Das Kind soll sich glücklich und zufrieden damit fühlen. Es soll kein Zwang sein. Also, es ist ganz normal, wenn euer Wohnzimmer aussieht wie ein Schlachtfeld."
1,24,,DOfdHCcCLS9,https://www.instagram.com/p/DOfdHCcCLS9/?hl=de,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/downloads/downloads_beikost/DOfdHCcCLS9.mp4,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/evaluation/statements/beikost_first10/audio/DOfdHCcCLS9.wav,2026-06-27T10:26:38Z,6,6,Food should evoke passion and make a baby feel happy and content.,"Ja, genau so sieht es aus, wenn ein Baby anfängt zu essen mit Beikuss. Es ist wild, es ist dreckig, alles wird schmutzig, es ist super viel Arbeit. Ihr seid eigentlich den ganzen Tag damit beschäftigt, Essen vorzubereiten, zu füttern oder zu verabreichen als BLW. Wenigstens das Tablett sauber machen, den Hochstuhl, den Boden, manchmal sogar die Wände. Es kann alles dreckig werden. Aber es ist ganz wichtig, dass das Kind diese Entwicklung durchmacht. Es ist nicht gut und kann zu Fütterstörungen führen, wenn ihr zum Beispiel das Kind immer wieder zwischendurch sauber macht, immer nur das Essen anreicht und es gar nicht das Essen erkunden darf. Es gehört ja auch dazu, die Haptik, Textur, die Konsistenz und so weiter zu testen, also die Sensorik wirklich auszuprobieren. Also lasst euren Kindern da einfach mal freien Lauf. Man sagt immer, mit Essen darf man nicht spielen. Doch, Kinder dürfen mit Essen spielen, besonders am Anfang. Es muss ein Erlebnis sein. Essen soll Spaß machen, soll Leidenschaft erwecken. Das Kind soll sich glücklich und zufrieden damit fühlen. Es soll kein Zwang sein. Also, es ist ganz normal, wenn euer Wohnzimmer aussieht wie ein Schlachtfeld."
2,53,,DQrCpgIjUBI,https://www.instagram.com/p/DQrCpgIjUBI/?hl=de,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/downloads/downloads_beikost/DQrCpgIjUBI.mp4,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/evaluation/statements/beikost_first10/audio/DQrCpgIjUBI.wav,2026-06-27T10:27:17Z,8,1,A baby should have a tooth to start complementary feeding.,"Ihr wollt mit der Beikost starten, wisst aber nicht, ob euer Baby alle Reifezeichen erfüllt? Ich bin Hebamme Lisa und wir sprechen über die Reifezeichen bei Beikostbeginn. Es kursieren ja die verschiedensten Informationen im Netz. Das Kind sollte einen Zahn haben, sollte selbstständig sitzen können oder schaut dem Essen ganz gierig hinterher. Das kann ein bisschen verwirren. Manche Kinder kommen schon mit dem ersten Zahn auf die Welt, das ist also ein bisschen hinfällig. Manche Kinder können erst mit acht Monaten oder später ganz alleine sitzen. Also auch das ist dann tatsächlich ein bisschen zu spät. Und dass Kinder ganz gierig auf alles sind, was wir haben, ist auch ganz normal und hat erstmal nichts mit einem Beikostreifezeichen zu tun. Die Kinder sollten mit Unterstützung sitzen können. Die Kinder sollten sich von dem Rücken auf den Bauch drehen können. Dann erst dann haben sie soweit eine orale Motorik, halbfeste oder feste Nahrung erfolgreich abschlucken zu können. Und die Kinder sollten natürlich eine gute Nahrung haben. Die Kinder sollen eine gute Kopfkontrolle besitzen. Das heißt, sie sollen ihren Kopf alleine halten können. Ich hoffe, diese Infos helfen euch. Wir wünschen euch einen erfolgreichen Beikoststart und für mehr Tipps rund um die Beikost folgt uns gerne auf hebamengeflüster.de."
2,53,,DQrCpgIjUBI,https://www.instagram.com/p/DQrCpgIjUBI/?hl=de,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/downloads/downloads_beikost/DQrCpgIjUBI.mp4,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/evaluation/statements/beikost_first10/audio/DQrCpgIjUBI.wav,2026-06-27T10:27:17Z,8,2,A baby should be able to sit independently to start complementary feeding.,"Ihr wollt mit der Beikost starten, wisst aber nicht, ob euer Baby alle Reifezeichen erfüllt? Ich bin Hebamme Lisa und wir sprechen über die Reifezeichen bei Beikostbeginn. Es kursieren ja die verschiedensten Informationen im Netz. Das Kind sollte einen Zahn haben, sollte selbstständig sitzen können oder schaut dem Essen ganz gierig hinterher. Das kann ein bisschen verwirren. Manche Kinder kommen schon mit dem ersten Zahn auf die Welt, das ist also ein bisschen hinfällig. Manche Kinder können erst mit acht Monaten oder später ganz alleine sitzen. Also auch das ist dann tatsächlich ein bisschen zu spät. Und dass Kinder ganz gierig auf alles sind, was wir haben, ist auch ganz normal und hat erstmal nichts mit einem Beikostreifezeichen zu tun. Die Kinder sollten mit Unterstützung sitzen können. Die Kinder sollten sich von dem Rücken auf den Bauch drehen können. Dann erst dann haben sie soweit eine orale Motorik, halbfeste oder feste Nahrung erfolgreich abschlucken zu können. Und die Kinder sollten natürlich eine gute Nahrung haben. Die Kinder sollen eine gute Kopfkontrolle besitzen. Das heißt, sie sollen ihren Kopf alleine halten können. Ich hoffe, diese Infos helfen euch. Wir wünschen euch einen erfolgreichen Beikoststart und für mehr Tipps rund um die Beikost folgt uns gerne auf hebamengeflüster.de."
2,53,,DQrCpgIjUBI,https://www.instagram.com/p/DQrCpgIjUBI/?hl=de,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/downloads/downloads_beikost/DQrCpgIjUBI.mp4,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/evaluation/statements/beikost_first10/audio/DQrCpgIjUBI.wav,2026-06-27T10:27:17Z,8,3,A baby showing greedy behavior towards food is not necessarily a sign of readiness for complementary feeding.,"Ihr wollt mit der Beikost starten, wisst aber nicht, ob euer Baby alle Reifezeichen erfüllt? Ich bin Hebamme Lisa und wir sprechen über die Reifezeichen bei Beikostbeginn. Es kursieren ja die verschiedensten Informationen im Netz. Das Kind sollte einen Zahn haben, sollte selbstständig sitzen können oder schaut dem Essen ganz gierig hinterher. Das kann ein bisschen verwirren. Manche Kinder kommen schon mit dem ersten Zahn auf die Welt, das ist also ein bisschen hinfällig. Manche Kinder können erst mit acht Monaten oder später ganz alleine sitzen. Also auch das ist dann tatsächlich ein bisschen zu spät. Und dass Kinder ganz gierig auf alles sind, was wir haben, ist auch ganz normal und hat erstmal nichts mit einem Beikostreifezeichen zu tun. Die Kinder sollten mit Unterstützung sitzen können. Die Kinder sollten sich von dem Rücken auf den Bauch drehen können. Dann erst dann haben sie soweit eine orale Motorik, halbfeste oder feste Nahrung erfolgreich abschlucken zu können. Und die Kinder sollten natürlich eine gute Nahrung haben. Die Kinder sollen eine gute Kopfkontrolle besitzen. Das heißt, sie sollen ihren Kopf alleine halten können. Ich hoffe, diese Infos helfen euch. Wir wünschen euch einen erfolgreichen Beikoststart und für mehr Tipps rund um die Beikost folgt uns gerne auf hebamengeflüster.de."
2,53,,DQrCpgIjUBI,https://www.instagram.com/p/DQrCpgIjUBI/?hl=de,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/downloads/downloads_beikost/DQrCpgIjUBI.mp4,/data/home/jak38842/disk/fact_checker/alison/ReelPeel/evaluation/statements/beikost_first10/audio/DQrCpgIjUBI.wav,2026-06-27T10:27:17Z,8,4,Babies should be able to sit with support to start complementary feeding.,"Ihr wollt mit der Beikost starten, wisst aber nicht, ob euer Baby alle Reifezeichen erfüllt? Ich bin Hebamme Lisa und wir sprechen über die Reifezeichen bei Beikostbeginn. Es kursieren ja die verschiedensten Informationen im Netz. Das Kind sollte einen Zahn haben, sollte selbstständig sitzen können oder schaut dem Essen ganz gierig hinterher. Das kann ein bisschen verwirren. Manche Kinder kommen schon mit dem ersten Zahn auf die Welt, das ist also ein bisschen hinfällig. Manche Kinder können erst mit acht Monaten oder später ganz alleine sitzen. Also auch das ist dann tatsächlich ein bisschen zu spät. Und dass Kinder ganz gierig auf alles sind, was wir haben, ist auch ganz normal und hat erstmal nichts mit einem Beikostreifezeichen zu tun. Die Kinder sollten mit Unterstützung sitzen können. Die Kinder sollten sich von dem Rücken auf den Bauch drehen können. Dann erst dann haben sie soweit eine orale Motorik, halbfeste oder feste Nahrung erfolgreich abschlucken zu können. Und die Kinder sollten natürlich eine gute Nahrung haben. Die Kinder sollen eine gute Kopfkontrolle besitzen. Das heißt, sie sollen ihren Kopf alleine halten können. Ich hoffe, diese Infos helfen euch. Wir wünschen euch einen erfolgreichen Beikoststart und für mehr Tipps rund um die Beikost folgt uns gerne auf hebamengeflüster.de."
